"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"49",1,1,1,1,2,2,1,1,10,8,3,0.679740051273257
"50",7,4,3,1,5,1,1,1,8,5,6,0.251946793869138
"51",5,5,1,1,1,1,1,1,7,6,6,0.723233713302761
"52",8,5,1,1,9,8,2,2,10,5,4,0.568883282598108
"53",10,5,4,4,4,4,4,2,10,7,10,0.918380069779232
"54",4,3,2,1,5,3,2,1,4,4,2,0.996337175834924
"55",9,5,2,1,8,4,1,1,9,9,6,0.689626624109223
"56",7,4,3,1,6,3,3,3,2,2,10,0.728465778985992
"57",9,7,7,3,1,1,1,1,9,1,3,0.149215267039835
"58",7,6,2,1,1,1,1,1,4,1,7,0.0243662162683904
"59",5,3,2,2,9,6,2,2,10,6,7,0.893740102183074
"60",3,3,3,1,7,5,1,1,1,1,7,0.947025439236313
"61",10,1,1,1,8,5,3,3,2,1,3,0.55698624602519
"62",8,1,1,1,5,3,2,1,6,3,2,0.729064833838493
"63",2,2,2,1,1,1,1,1,9,7,5,0.118917454965413
"64",9,8,1,1,3,3,1,1,8,1,1,0.373847291339189
"65",5,1,1,1,8,1,1,1,10,10,10,0.819874191889539
"66",4,2,2,2,9,5,5,5,10,7,8,0.288179363589734
"67",8,7,3,2,5,2,2,1,3,3,7,0.562580939149484
"68",10,6,5,4,2,2,1,1,8,6,7,0.0903854994103312
"69",4,3,3,3,1,1,1,1,9,2,6,0.393553184112534
"70",2,2,2,2,3,3,1,1,4,3,2,0.325654690852389
"71",1,1,1,1,4,3,1,1,9,8,6,0.602179262554273
"72",9,6,1,1,7,1,1,1,1,1,4,0.722729039611295
"73",10,8,5,3,8,7,1,1,6,3,5,0.717138012405485
"74",9,7,6,3,10,8,6,4,4,3,9,0.295245552668348
"75",10,6,2,2,6,6,3,2,5,2,10,0.920317084295675
"76",9,6,1,1,3,2,2,1,3,2,3,0.916338727343827
"77",8,3,2,1,4,4,2,1,7,4,4,0.379362759180367
"78",7,4,2,1,3,1,1,1,1,1,1,0.159253941383213
"79",10,6,3,3,5,1,1,1,9,6,3,0.255711971549317
"80",6,1,1,1,4,2,2,2,7,3,2,0.974701683269814
"81",3,3,1,1,8,4,1,1,5,1,6,0.214952054433525
"82",4,1,1,1,7,2,1,1,8,4,9,0.143408809322864
"83",8,7,3,1,8,6,2,2,1,1,3,0.100249184528366
"84",1,1,1,1,4,1,1,1,1,1,2,0.541338249575347
"85",7,7,4,4,5,4,4,1,3,1,4,0.45710451877676
"86",7,7,4,2,7,5,5,4,3,3,3,0.47563143633306
"87",5,1,1,1,6,4,3,1,9,9,8,0.129410291556269
"88",4,4,4,4,9,2,2,2,5,4,9,0.0989198342431337
"89",7,6,6,2,4,3,1,1,7,4,1,0.816759201232344
"90",7,1,1,1,3,2,2,1,1,1,10,0.0531109746079892
"91",6,2,2,1,6,5,4,2,6,6,3,0.78633208735846
"92",7,7,4,1,9,7,6,3,4,1,3,0.202931141713634
"93",5,1,1,1,5,3,3,3,8,6,3,0.343410216504708
"94",3,2,2,1,8,2,2,2,8,3,9,0.935503767803311
"95",5,4,2,1,2,2,1,1,8,2,3,0.419869754463434
"96",10,3,2,2,2,2,2,2,7,5,5,0.663866413524374
"97",1,1,1,1,10,8,7,3,5,1,2,0.676230721175671
"98",10,2,2,1,3,2,1,1,6,1,1,0.57676737010479
"99",8,8,6,5,6,1,1,1,5,4,9,0.78624349553138
"100",7,4,3,1,6,4,2,1,2,2,9,0.904050334356725
"101",8,5,4,1,9,9,9,9,2,1,7,0.990622759796679
"102",8,8,4,1,10,8,4,2,4,1,5,0.493936717975885
"103",3,2,1,1,9,8,5,4,1,1,8,0.224689167225733
"104",2,1,1,1,9,5,2,1,2,1,7,0.675377949839458
"105",5,3,2,2,3,3,2,1,10,4,7,0.98158213426359
"106",9,8,3,3,4,1,1,1,2,1,6,0.0861316844820976
"107",7,7,1,1,3,1,1,1,6,3,3,0.332486877450719
"108",6,1,1,1,8,5,4,3,8,3,6,0.402273790678009
"109",4,1,1,1,1,1,1,1,2,2,2,0.780538350809366
"110",5,5,3,3,9,2,1,1,4,2,5,0.0563397211953998
"111",4,4,1,1,8,5,4,1,2,1,4,0.628060762537643
"112",9,9,7,7,1,1,1,1,8,5,1,0.472014796920121
"113",10,3,1,1,7,4,4,1,7,3,1,0.0705139546189457
"114",2,1,1,1,10,8,3,3,5,1,9,0.786289301235229
"115",9,7,7,5,9,3,3,2,9,1,2,0.788963214028627
"116",4,4,4,2,3,3,2,1,10,2,1,0.321520739002153
"117",3,3,3,3,3,2,2,2,4,1,3,0.63265573605895
"118",3,1,1,1,10,3,2,1,10,5,7,0.0165589665994048
"119",10,9,7,5,2,2,2,1,3,1,3,0.972559915855527
"120",7,7,3,3,6,4,1,1,4,4,1,0.697981671895832
"121",4,4,4,1,1,1,1,1,9,9,2,0.796647380338982
"122",1,1,1,1,6,2,1,1,5,3,1,0.761758575448766
"123",1,1,1,1,2,2,2,1,9,3,1,0.459278503665701
"124",7,6,5,5,9,4,4,2,5,5,7,0.687712735962123
"125",8,3,1,1,3,3,1,1,5,5,8,0.501043816097081
"126",5,4,2,1,4,2,1,1,2,2,1,0.498738098656759
"127",8,5,2,1,1,1,1,1,5,1,6,0.671479917829856
"128",2,2,1,1,9,6,6,1,7,1,6,0.469115385087207
"129",4,4,2,2,8,1,1,1,1,1,5,0.70511972438544
"130",7,2,2,1,4,1,1,1,7,5,2,0.258344934089109
"131",2,1,1,1,7,5,1,1,2,2,6,0.700462325010449
"132",10,4,4,3,4,3,2,1,7,3,8,0.825763574801385
"133",2,1,1,1,2,1,1,1,8,8,8,0.734128025127575
"134",1,1,1,1,5,3,1,1,7,7,4,0.608421387383714
"135",4,3,2,2,2,1,1,1,10,6,3,0.187151259277016
"136",7,6,5,4,4,3,2,1,7,7,4,0.377152862260118
"137",7,5,4,2,3,3,3,3,9,8,9,0.396422053687274
"138",4,4,2,2,9,7,4,1,8,7,4,0.250060347141698
"139",1,1,1,1,4,3,1,1,1,1,9,0.0515062306076288
"140",8,3,1,1,8,1,1,1,10,3,9,0.869627053849399
"141",9,6,2,1,3,2,2,2,5,4,4,0.134178509237245
"142",2,1,1,1,4,2,1,1,5,1,2,0.425989146111533
"143",9,3,1,1,3,2,2,2,1,1,7,0.0431120947469026
"144",7,1,1,1,4,4,3,3,8,3,8,0.443390290485695
"145",4,4,1,1,3,1,1,1,10,6,1,0.274747475516051
"146",5,1,1,1,6,1,1,1,6,6,2,0.0798925564158708
"147",5,4,4,3,2,2,2,2,6,5,3,0.864924418739974
"148",3,1,1,1,7,3,3,1,7,5,1,0.402076946571469
"149",1,1,1,1,4,2,2,1,9,3,6,0.216882416279987
"150",6,6,1,1,5,5,3,1,6,1,3,0.587041145423427
"151",3,1,1,1,2,2,1,1,6,5,4,0.47378344507888
"152",1,1,1,1,9,8,1,1,10,10,5,0.0916242932435125
"153",5,5,2,2,9,9,4,4,6,1,4,0.9643875437323
"154",7,5,1,1,2,2,1,1,5,1,7,0.903157764114439
"155",10,10,6,2,1,1,1,1,4,3,4,0.564748961245641
"156",7,1,1,1,8,8,1,1,8,3,1,0.867709687910974
"157",6,1,1,1,9,8,4,3,5,1,4,0.320518258493394
"158",4,1,1,1,6,3,2,2,3,2,3,0.875133394962177
"159",7,1,1,1,7,6,5,4,4,1,10,0.375099148368463
"160",8,5,5,5,7,1,1,1,10,6,7,0.840063714655116
"161",2,2,2,1,6,6,4,1,1,1,7,0.5064708951395
"162",5,1,1,1,8,8,7,6,5,3,8,0.0309893719386309
"163",10,4,4,4,2,2,2,1,1,1,4,0.395430898526683
"164",9,6,6,3,8,2,2,2,2,2,8,0.610426770756021
"165",9,5,4,4,7,2,1,1,9,8,3,0.756449873792008
"166",7,6,1,1,1,1,1,1,3,2,7,0.626505112042651
"167",4,4,2,2,9,4,2,2,1,1,1,0.488119736546651
"168",4,4,2,2,6,4,3,2,9,3,4,0.706516814883798
"169",1,1,1,1,6,3,2,2,3,2,9,0.659185259137303
"170",10,7,2,2,5,5,1,1,6,3,1,0.771765110548586
"171",10,6,5,5,1,1,1,1,7,6,8,0.233205308672041
"172",6,1,1,1,10,9,9,5,1,1,1,0.553949038032442
"173",2,1,1,1,5,1,1,1,9,4,4,0.424574334640056
"174",7,3,1,1,10,9,5,1,6,4,6,0.943721544928849
"175",4,4,3,2,7,2,2,1,5,3,5,0.453307294053957
"176",5,1,1,1,1,1,1,1,9,4,3,0.831907522631809
"177",4,2,2,1,8,5,3,1,6,3,6,0.315318528562784
"178",7,4,3,3,10,8,3,3,9,2,2,0.58894250378944
"179",4,2,1,1,7,6,2,1,10,1,9,0.0163625117857009
"180",7,7,3,3,9,2,2,1,10,9,4,0.635892373044044
"181",2,2,2,2,2,1,1,1,1,1,3,0.193800894543529
"182",2,2,1,1,4,1,1,1,2,1,5,0.750463004689664
"183",5,3,3,1,2,2,1,1,8,4,4,0.20788874803111
"184",3,3,2,2,1,1,1,1,1,1,2,0.968329559778795
"185",10,10,7,4,5,2,2,1,2,1,7,0.190386428730562
"186",2,2,2,2,8,7,3,3,1,1,7,0.965366260614246
"187",1,1,1,1,3,2,2,2,7,5,4,0.00344932079315186
"188",8,1,1,1,2,2,2,1,2,2,8,0.40891283354722
"189",6,6,3,2,10,9,1,1,7,3,7,0.592130394419655
"190",5,2,1,1,2,2,2,2,8,8,3,0.655903314938769
"191",6,1,1,1,1,1,1,1,10,4,10,0.827730297576636
"192",2,2,2,2,8,5,2,1,2,2,1,0.148892631288618
"193",4,3,3,3,10,9,6,4,10,8,2,0.192543214885518
"194",3,1,1,1,5,5,5,2,3,1,2,0.919342065928504
"195",9,2,2,2,10,6,4,4,3,3,8,0.59918097499758
"196",4,3,2,1,6,6,4,4,6,6,6,0.996481464942917
"197",4,1,1,1,4,2,2,2,7,5,6,0.968009666772559
"198",7,2,2,1,9,1,1,1,1,1,1,0.759837205521762
"199",9,1,1,1,10,8,6,4,5,1,5,0.97261029551737
"200",5,2,1,1,6,5,4,3,6,4,9,0.0162742976099253
"201",4,2,1,1,2,1,1,1,3,3,10,0.798670846736059
"202",1,1,1,1,10,1,1,1,10,1,5,0.715232347836718
"203",7,4,3,2,7,6,1,1,3,1,2,0.426035583950579
"204",9,8,3,3,4,1,1,1,7,7,10,0.596094415755942
"205",6,3,3,3,3,1,1,1,10,8,9,0.0583969096187502
"206",10,2,1,1,7,7,3,2,8,3,3,0.95790776819922
"207",3,1,1,1,6,6,3,2,10,9,7,0.766189441317692
"208",6,4,1,1,9,8,6,2,3,2,2,0.489457643590868
"209",3,1,1,1,6,5,1,1,2,1,5,0.875953090144321
"210",5,5,4,2,6,1,1,1,10,8,6,0.809066173853353
"211",7,1,1,1,8,7,5,5,6,2,9,0.935997796710581
"212",6,3,2,1,1,1,1,1,5,2,3,0.257772371638566
"213",6,4,4,4,5,5,2,2,1,1,9,0.156013515777886
"214",7,5,2,1,1,1,1,1,3,2,5,0.550148828886449
"215",3,3,2,1,5,1,1,1,7,6,10,0.318567006848752
"216",10,4,1,1,3,2,2,2,8,6,2,0.179546443512663
"217",9,4,4,4,4,4,3,3,2,2,4,0.282268834067509
"218",7,7,4,4,8,6,3,1,1,1,8,0.389369211625308
"219",6,5,1,1,5,5,2,2,8,8,7,0.872161309001967
"220",8,5,2,1,6,5,4,3,3,2,9,0.739788864506409
"221",3,1,1,1,4,1,1,1,8,3,10,0.424011504510418
"222",9,7,6,2,1,1,1,1,8,5,10,0.235194669570774
"223",8,3,3,3,3,3,1,1,9,1,4,0.496458074077964
"224",4,4,4,4,8,5,2,1,8,1,7,0.74019755795598
"225",5,3,3,2,4,2,1,1,10,5,2,0.747054737061262
"226",6,3,2,2,6,2,1,1,6,4,6,0.245713375043124
"227",10,2,1,1,2,1,1,1,6,6,5,0.513854842400178
"228",4,3,3,1,4,4,1,1,5,4,4,0.537504100240767
"229",7,7,6,1,3,1,1,1,8,1,1,0.600093094399199
"230",4,1,1,1,2,2,2,1,6,4,2,0.370027384022251
"231",6,4,1,1,8,7,1,1,1,1,2,0.59449999127537
"232",1,1,1,1,8,5,2,2,6,1,4,0.283772071823478
"233",6,6,6,4,2,1,1,1,7,3,9,0.851310201687738
"234",6,5,2,2,1,1,1,1,5,5,4,0.0199293000623584
"235",4,4,2,1,3,2,2,1,3,2,2,0.492540288483724
"236",4,3,1,1,4,2,1,1,7,5,3,0.289512890623882
"237",7,6,4,3,8,6,1,1,4,3,10,0.965295903850347
"238",9,1,1,1,4,2,1,1,9,9,10,0.208495691185817
"239",2,1,1,1,3,1,1,1,10,3,10,0.650277802255005
"240",8,8,2,2,3,1,1,1,3,3,1,0.906739093130454
"241",1,1,1,1,4,4,4,3,5,1,7,0.892106030369177
"242",6,3,1,1,7,2,2,1,10,9,4,0.66790403239429
"243",9,8,2,2,10,3,2,1,4,2,9,0.976801753975451
"244",10,3,2,1,5,1,1,1,1,1,5,0.106365165207535
"245",9,2,1,1,7,1,1,1,8,4,7,0.783950056880713
"246",10,2,1,1,3,3,3,3,5,2,3,0.0735133294947445
"247",6,1,1,1,9,7,4,3,1,1,4,0.706126573961228
"248",8,6,4,1,2,1,1,1,6,6,5,0.998447162332013
"249",4,1,1,1,6,2,1,1,3,3,5,0.397376164095476
"250",10,4,2,1,1,1,1,1,7,2,1,0.0901606695260853
"251",2,1,1,1,6,1,1,1,2,2,2,0.376670827856287
"252",3,1,1,1,7,4,4,2,4,2,2,0.968027246650308
"253",2,2,1,1,7,3,3,3,2,2,6,0.8697922937572
"254",3,2,1,1,3,1,1,1,10,10,10,0.503590851090848
"255",4,3,3,3,1,1,1,1,7,3,3,0.604840129846707
"256",4,3,2,2,9,7,7,5,3,1,10,0.540348513750359
"257",3,1,1,1,1,1,1,1,9,7,1,0.502475077519193
"258",3,3,1,1,2,1,1,1,6,5,5,0.677127417642623
"259",1,1,1,1,5,2,1,1,8,2,1,0.824138126336038
"260",5,5,2,1,10,2,1,1,7,1,1,0.0387313596438617
"261",10,9,8,4,4,4,3,1,3,3,10,0.118497418239713
"262",2,2,2,2,6,1,1,1,3,2,3,0.935128864832222
"263",8,5,3,3,8,1,1,1,5,4,5,0.876431498676538
"264",4,1,1,1,7,2,1,1,8,6,10,0.0670725789386779
"265",1,1,1,1,7,2,2,1,2,1,2,0.968698892742395
"266",8,4,1,1,1,1,1,1,2,1,10,0.00590116111561656
"267",4,4,3,2,2,2,1,1,6,3,10,0.649538765428588
"268",2,1,1,1,6,5,4,2,5,3,7,0.496851428411901
"269",2,1,1,1,8,3,3,3,7,7,4,0.604009926551953
"270",9,8,8,5,5,3,1,1,6,4,6,0.0737165454775095
"271",8,3,1,1,9,6,6,5,8,4,9,0.787565135629848
"272",6,6,1,1,1,1,1,1,4,2,10,0.204490287927911
"273",10,2,1,1,8,6,5,3,4,1,3,0.446907315636054
"274",6,4,4,4,1,1,1,1,1,1,2,0.251676148036495
"275",10,1,1,1,2,2,2,1,10,10,2,0.240007367217913
"276",5,1,1,1,10,1,1,1,2,1,7,0.915100919781253
"277",1,1,1,1,2,1,1,1,7,7,3,0.513981945579872
"278",2,1,1,1,6,5,4,2,10,7,7,0.565385318128392
"279",5,3,3,1,8,6,6,4,3,2,5,0.550291477702558
"280",7,6,5,4,9,7,6,3,3,3,5,0.48307403200306
"281",10,3,3,1,3,3,2,2,10,4,6,0.517119331285357
"282",6,6,1,1,9,9,2,1,10,1,7,0.191764247836545
"283",1,1,1,1,4,1,1,1,3,3,10,0.911012546159327
"284",3,2,2,2,6,1,1,1,7,7,10,0.53879214474
"285",3,3,1,1,6,4,4,1,7,5,3,0.940923504997045
"286",3,2,2,2,5,5,4,1,1,1,6,0.000797291751950979
"287",4,1,1,1,4,2,1,1,2,2,2,0.385419554775581
"288",2,1,1,1,4,4,3,2,3,3,4,0.349021499976516
"289",7,1,1,1,8,4,4,1,5,1,10,0.109258633339778
"290",2,2,2,2,4,4,3,1,10,7,5,0.160308907506987
"291",3,3,1,1,5,2,2,2,3,3,7,0.157847816124558
"292",1,1,1,1,3,3,3,2,10,1,3,0.764124945970252
"293",10,5,5,5,8,2,1,1,9,6,3,0.0717604921665043
"294",1,1,1,1,9,2,2,2,6,4,1,0.919602975714952
"295",5,5,5,5,5,3,2,1,5,5,1,0.944852822460234
"296",6,5,4,3,7,5,3,2,5,2,2,0.0848765480332077
"297",4,4,2,2,10,10,8,6,8,3,1,0.177248864201829
"298",3,2,2,2,10,3,1,1,1,1,8,0.651818419108167
"299",3,2,1,1,2,2,1,1,3,3,2,0.252746601356193
"300",8,4,3,1,5,1,1,1,9,3,6,0.639532373053953
"301",7,5,2,2,8,6,2,2,10,4,3,0.308741903863847
"302",6,3,2,2,5,1,1,1,3,3,9,0.951207899255678
"303",6,5,2,2,10,1,1,1,1,1,6,0.532758089946583
"304",7,6,4,1,1,1,1,1,2,2,4,0.279107142006978
"305",4,3,2,2,5,1,1,1,2,1,8,0.302653092890978
"306",10,5,4,1,2,1,1,1,7,3,4,0.822752023348585
"307",9,6,2,2,10,5,1,1,4,2,10,0.686960586579517
"308",6,2,1,1,4,2,1,1,8,7,4,0.318536367733032
"309",5,3,1,1,4,2,2,1,8,2,3,0.0376321694348007
"310",6,4,3,1,8,2,1,1,2,2,9,0.586946876253933
"311",7,7,2,1,1,1,1,1,3,2,6,0.623306061374024
"312",7,4,2,2,9,8,6,5,3,2,10,0.367897203424945
"313",4,3,2,2,5,5,5,1,8,8,8,0.274710205616429
"314",9,8,6,6,4,2,2,2,10,6,10,0.626273966394365
"315",4,1,1,1,5,2,1,1,10,9,8,0.934910796117038
"316",9,9,7,1,5,4,1,1,10,6,8,0.538412740919739
"317",6,3,1,1,7,7,7,4,8,5,1,0.966657339362428
"318",2,2,1,1,8,8,2,1,6,1,4,0.505480470368639
"319",8,5,2,1,6,5,5,3,1,1,2,0.114099447382614
"320",7,5,1,1,7,1,1,1,9,7,3,0.63093317206949
"321",4,1,1,1,1,1,1,1,4,4,2,0.997273428365588
"322",5,1,1,1,2,2,1,1,3,3,8,0.805270024342462
"323",4,3,2,1,9,8,1,1,1,1,3,0.098139887675643
"324",8,7,1,1,6,2,2,1,3,2,10,0.637896115193143
"325",9,5,1,1,5,4,1,1,5,4,6,0.917095366865396
"326",6,6,5,1,8,5,3,2,6,3,7,0.680048234527931
"327",3,2,2,2,2,2,1,1,5,1,9,0.706640972057357
"328",7,4,3,3,8,1,1,1,3,1,8,0.654708253685385
"329",3,2,2,2,1,1,1,1,8,1,7,0.440208355663344
"330",1,1,1,1,1,1,1,1,9,2,9,0.608155552530661
"331",3,2,1,1,9,8,6,3,10,3,7,0.315000355942175
"332",4,1,1,1,8,1,1,1,3,1,3,0.537351118633524
"333",2,2,2,1,7,4,2,2,6,6,10,0.0156083651818335
"334",7,1,1,1,2,1,1,1,3,2,9,0.928571547614411
"335",8,5,4,1,9,1,1,1,9,8,3,0.81567473616451
"336",6,1,1,1,2,1,1,1,3,1,5,0.0884187188930809
"337",2,1,1,1,7,2,2,2,4,3,7,0.139348788652569
"338",9,5,1,1,1,1,1,1,7,3,8,0.691198780201375
"339",4,4,1,1,9,1,1,1,4,3,2,0.141263819532469
"340",6,2,1,1,2,1,1,1,5,5,10,0.186122247716412
"341",9,5,5,1,5,1,1,1,6,1,1,0.693203090922907
"342",6,4,1,1,4,2,1,1,10,1,7,0.623269764939323
"343",6,5,5,3,4,2,1,1,8,6,8,0.0162305498961359
"344",10,8,6,4,2,2,2,2,2,2,8,0.521312420489267
"345",8,4,3,3,3,3,2,1,6,6,6,0.0340031411033124
"346",10,6,2,2,7,2,1,1,3,3,1,0.668853746261448
"347",1,1,1,1,2,2,1,1,3,3,4,0.860528740333393
"348",5,3,2,1,6,4,1,1,5,4,10,0.902200086275116
"349",8,6,3,3,8,4,4,3,8,4,3,0.380333599401638
"350",2,2,2,2,10,10,4,1,10,7,7,0.9917921081651
"351",8,8,3,2,9,9,9,3,2,1,2,0.494467065902427
"352",9,8,4,3,8,6,6,6,6,5,6,0.158589711179957
"353",1,1,1,1,10,6,6,4,4,3,4,0.170480381231755
"354",6,5,3,1,3,2,2,1,6,2,7,0.0916993522550911
"355",5,3,2,2,8,5,3,3,7,6,4,0.403371817199513
"356",3,3,1,1,8,7,5,3,6,5,5,0.100525844609365
"357",6,6,1,1,6,4,3,2,8,7,5,0.0744204362854362
"358",1,1,1,1,3,2,1,1,10,3,8,0.200961620546877
"359",7,2,1,1,2,2,1,1,5,1,10,0.727492764592171
"360",2,1,1,1,5,5,5,2,8,6,3,0.473987797042355
"361",7,5,3,3,4,3,3,1,2,2,7,0.0402600197121501
"362",6,2,1,1,7,3,2,2,1,1,3,0.259199925931171
"363",9,2,1,1,3,3,3,2,9,7,6,0.190401991130784
"364",4,1,1,1,1,1,1,1,4,1,6,0.785229716915637
"365",9,3,1,1,7,2,1,1,2,2,10,0.754372349008918
"366",5,2,2,1,6,5,5,4,9,8,10,0.574253898579627
"367",1,1,1,1,4,1,1,1,10,9,10,0.519937442382798
"368",4,4,2,1,10,5,5,4,8,7,10,0.364075133576989
"369",8,8,7,7,7,7,2,1,9,7,4,0.0275155571289361
"370",5,2,1,1,7,2,1,1,8,7,6,0.503172162920237
"371",9,8,8,8,8,3,2,2,3,1,1,0.546543553005904
"372",10,3,3,3,6,5,4,2,1,1,5,0.162445748923346
"373",2,2,1,1,7,3,2,1,8,4,7,0.495438394136727
"374",7,7,2,1,5,4,2,2,2,2,6,0.032352133654058
"375",2,1,1,1,10,6,1,1,9,4,2,0.96902711619623
"376",4,3,1,1,5,4,2,2,5,1,5,0.964153202716261
"377",6,6,4,1,5,3,1,1,8,5,5,0.447720943484455
"378",7,3,3,2,1,1,1,1,2,1,4,0.975015169242397
"379",2,1,1,1,9,9,3,2,6,5,5,0.0445906864479184
"380",2,2,2,1,8,3,2,2,5,5,8,0.788344320375472
"381",6,5,5,1,7,7,7,5,7,3,10,0.128549244021997
"382",8,3,1,1,6,6,4,4,2,2,1,0.186348186340183
"383",5,1,1,1,10,6,5,5,7,5,1,0.608731284504756
"384",10,5,4,2,3,3,1,1,1,1,4,0.527119040489197
"385",10,9,6,1,8,6,2,2,9,5,9,0.266279947478324
"386",6,3,3,2,8,6,6,4,9,1,10,0.987846944481134
"387",3,2,2,2,4,1,1,1,6,5,4,0.483477535657585
"388",8,4,2,1,9,9,5,2,6,2,3,0.930728305364028
"389",10,6,1,1,3,2,1,1,7,7,3,0.551450669765472
"390",10,2,2,2,6,4,4,3,6,4,3,0.125095271738246
"391",7,7,2,1,6,6,1,1,5,3,5,0.38248001341708
"392",4,2,1,1,9,3,3,1,6,1,10,0.581580032128841
"393",8,6,1,1,9,7,2,1,10,10,1,0.556497530313209
"394",2,2,1,1,10,3,1,1,6,6,5,0.817871632054448
"395",3,2,1,1,10,7,7,2,1,1,3,0.85337641579099
"396",6,4,2,1,4,4,1,1,7,5,2,0.626396084902808
"397",8,5,5,1,8,8,2,2,5,1,1,0.861275499453768
"398",8,3,1,1,1,1,1,1,3,3,2,0.392398370197043
"399",4,1,1,1,9,7,3,3,3,2,6,0.184303811052814
"400",7,6,2,1,10,3,2,1,4,1,1,0.460198363522068
"401",9,1,1,1,4,3,2,2,7,5,9,0.597012999467552
"402",10,1,1,1,2,1,1,1,5,3,9,0.499196177814156
"403",6,1,1,1,8,7,3,1,7,5,8,0.11571263638325
"404",6,4,2,2,7,3,3,1,10,5,1,0.780678396578878
"405",3,1,1,1,10,5,5,3,3,3,10,0.665271597215906
"406",10,5,1,1,4,1,1,1,9,3,9,0.377191589446738
"407",5,3,3,2,7,6,2,1,5,5,10,0.773134504910558
"408",3,2,2,2,9,1,1,1,4,1,10,0.564746136078611
"409",6,6,1,1,10,9,8,4,4,2,10,0.901120773749426
"410",9,5,5,5,8,8,3,1,6,6,4,0.0547820837236941
"411",1,1,1,1,3,3,3,3,10,4,2,0.326344448374584
"412",2,2,2,1,10,6,4,3,10,8,3,0.737295728875324
"413",3,3,2,2,5,1,1,1,1,1,5,0.102671436732635
"414",4,4,1,1,8,7,5,4,5,2,3,0.0780040959361941
"415",6,6,1,1,4,3,3,3,2,1,2,0.797245170688257
"416",3,3,1,1,1,1,1,1,8,3,8,0.649690082063898
"417",2,1,1,1,5,3,3,2,8,1,8,0.437209086259827
"418",4,3,3,2,8,2,2,1,4,3,7,0.416386326309294
"419",1,1,1,1,6,6,1,1,3,3,10,0.86336367065087
"420",1,1,1,1,8,8,4,1,7,3,8,0.725032211048529
